Date,Peak Forecast
2023-01-01,27308.83578179573
2023-02-01,28056.154178076235
2023-03-01,30013.446411490877
2023-04-01,30872.930475172903
2023-05-01,30407.355685020422
2023-06-01,29700.72181185468
2023-07-01,29024.8539954673
2023-08-01,28797.483251457303
2023-09-01,28509.97347465517
2023-10-01,28140.100750743262
2023-11-01,28580.268862495963
2023-12-01,27696.068093884045
2024-01-01,27822.2305832598
2024-02-01,28540.61814883467
2024-03-01,30483.472820910647
2024-04-01,31335.75200411313
2024-05-01,30866.581710432958
2024-06-01,30158.15354718089
2024-07-01,29481.39031325626
2024-08-01,29253.5727225674
2024-09-01,28965.83995264071
2024-10-01,28595.855946859756
2024-11-01,29035.968524817854
2024-12-01,28151.74004277544
2025-01-01,28277.88870211787
2025-02-01,28996.26936599135
2025-03-01,30939.12059386145
2025-04-01,31791.39805827701
2025-05-01,31322.226906858188
2025-06-01,30613.798315562603
2025-07-01,29937.03486802834
2025-08-01,29709.21717074031
2025-09-01,29421.48434761667
2025-10-01,29051.500315288464
2025-11-01,29491.612879998487
2025-12-01,28607.384391344796
2026-01-01,28733.53304738795
2026-02-01,29451.91370961497
2026-03-01,31394.764936663425
2026-04-01,32247.04240066895
2026-05-01,31777.871249045507
2026-06-01,31069.44265764781
2026-07-01,30392.679210062586
2026-08-01,30164.861512749125
2026-09-01,29877.128689612797
2026-10-01,29507.14465727825
2026-11-01,29947.257221985117
2026-12-01,29063.028733329844
2027-01-01,29189.177389372213
2027-02-01,29907.55805159884
2027-03-01,31850.409278647097
2027-04-01,32702.686742652524
2027-05-01,32233.515591029034
2027-06-01,31525.086999631312
2027-07-01,30848.323552046073
2027-08-01,30620.505854732608
2027-09-01,30332.773031596276
2027-10-01,29962.788999261735
2027-11-01,30402.9015639686
2027-12-01,29518.673075313327
2028-01-01,29644.821731355696
2028-02-01,30363.202393582324
2028-03-01,32306.05362063058
2028-04-01,33158.33108463601
2028-05-01,32689.15993301252
2028-06-01,31980.7313416148
2028-07-01,31303.96789402956
2028-08-01,31076.1501967161
2028-09-01,30788.417373579763
2028-10-01,30418.43334124522
2028-11-01,30858.545905952087
2028-12-01,29974.317417296814
2029-01-01,30100.466073339183
2029-02-01,30818.84673556581
2029-03-01,32761.697962614067
2029-04-01,33613.975426619494
2029-05-01,33144.804274996
2029-06-01,32436.37568359828
2029-07-01,31759.61223601304
2029-08-01,31531.794538699578
2029-09-01,31244.061715563243
2029-10-01,30874.0776832287
2029-11-01,31314.190247935567
2029-12-01,30429.961759280293
2030-01-01,30556.110415322662
2030-02-01,31274.49107754929
2030-03-01,33217.34230459754
2030-04-01,34069.61976860297
2030-05-01,33600.448616979476
2030-06-01,32892.020025581754
2030-07-01,32215.256577996515
2030-08-01,31987.438880683054
2030-09-01,31699.70605754672
2030-10-01,31329.722025212177
2030-11-01,31769.834589919043
2030-12-01,30885.60610126377
2031-01-01,31011.75475730614
2031-02-01,31730.135419532766
2031-03-01,33672.98664658102
2031-04-01,34525.264110586446
2031-05-01,34056.09295896295
2031-06-01,33347.66436756523
2031-07-01,32670.90091997999
2031-08-01,32443.08322266653
2031-09-01,32155.350399530194
2031-10-01,31785.366367195653
2031-11-01,32225.47893190252
2031-12-01,31341.250443247245
2032-01-01,31467.399099289614
2032-02-01,32185.77976151624
2032-03-01,34128.630988564495
2032-04-01,34980.90845256992
2032-05-01,34511.73730094643
2032-06-01,33803.308709548706
2032-07-01,33126.54526196347
2032-08-01,32898.727564650006
2032-09-01,32610.99474151367
2032-10-01,32241.01070917913
2032-11-01,32681.123273885994
2032-12-01,31796.89478523072
